title,job_link,company,location,career,education,employment_type,salary,job_sector,register_date,deadline
[대기업SI계열사] SAP PP 구축 9-15년(영어회화 가능자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49573364&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)디에스파트너즈그룹,서울 용산구,경력 9~15년,대졸↑,정규직,정보 없음,"SAP, ABAP, ERP, 회계, 헤드헌팅",등록일 24/12/11,~ 01/10(금)
[화성] 자동화 장비 PC제어 경력자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49573361&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,위키에이드,서울전체,경력3년↑,고졸↑,정규직,정보 없음,"C#, C++, C언어, MFC, 장비제어",등록일 24/12/11,~ 01/10(금)
자동화 장비  SW 제어(CIM) 경력자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49573359&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,위키에이드,경기전체,경력5년↑,초대졸↑,정규직,정보 없음,"C#, C++, C언어, MFC, 장비제어",등록일 24/12/11,~ 01/10(금)
"[용산/안양]SAP PP, MM. CO, SD 운영 각 1명  5-15년",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49573351&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)디에스파트너즈그룹,서울 용산구,경력 5~15년,대졸↑,정규직,정보 없음,"SAP, ABAP, ERP, 회계, PP",등록일 24/12/11,~ 01/10(금)
㈜푸른기술 각 부문별 정규직 공개 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49543727&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)푸른기술,서울전체,신입·경력,고졸↑,정규직,정보 없음,"기술지원, 유지보수, A/S기사, 장비설계, 회로설계",수정일 24/12/10,~ 12/23(월)
프라이빗클라우드팀 리드 (팀장급)/세계적인 게임사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49555388&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)에이치알비즈코리아,경기 성남시 분당구,경력10년↑,대졸↑,정규직,정보 없음,"SE(시스템엔지니어), 클라우드, H/W, Windows, Kubernetes",수정일 24/12/11,~ 12/23(월)
IT 서비스 운영 및 개발 프론트엔드 개발자 - (React/NextJs),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49573321&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)엠오브에스,서울 동작구,경력무관,대졸↑,정규직,"3,400 만원","백엔드/서버개발, 프론트엔드, Node.js, React, ReactJS",등록일 24/12/11,~ 01/10(금)
2025 신입 및 경력사원 공채,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49377122&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)시스원,서울전체,신입·경력,초대졸↑,정규직,정보 없음,"보안컨설팅, 웹개발, 웹마스터, 정보보안, 프론트엔드",수정일 24/11/12,~ 12/31(화)
[NARA SPACE] 각 부문별 직원모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394069&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)나라스페이스테크놀로지,서울전체,신입·경력,초대졸↑,정규직,정보 없음,"데이터엔지니어, 백엔드/서버개발, 웹개발, 프론트엔드, DBA",수정일 24/11/26,상시채용
"[외투기업] 자동화장비 기구설계, 전장설계 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49489839&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)나인벨,경기 성남시 중원구,경력,대졸↑,정규직,정보 없음,"기술지원, SI개발, H/W, S/W, 로봇엔지니어",수정일 24/11/29,~ 12/31(화)
[주 3일 원격근무] 비상교육 전체직무 상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49509463&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)비상교육,경기 과천시,신입·경력,대졸↑,정규직·계약직,정보 없음,"백엔드/서버개발, 유지보수, 프론트엔드, SE(시스템엔지니어), 인프라",수정일 24/12/02,~ 12/31(화)
[네트워크 보안/리테일 영업] 담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527744&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)하이랜드푸드,서울전체,신입·경력,학력무관,정규직,정보 없음,"보안컨설팅, 유지보수, 정보보안, 네트워크, 방화벽",수정일 24/12/05,~ 12/29(일)
[커머스] 전직군 신입/경력 채용 (영상/마케팅/글로벌/콘텐츠),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523752&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)아이리스브라이트,서울 강남구,신입·경력,학력무관,정규직·계약직,정보 없음,"기술지원, 유지보수, 정보보안, 네트워크, 인프라",수정일 24/12/05,~ 12/17(화)
원자력 HW개발/SW개발/철도사업엔지니어/구매생산 분야 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523729&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)우리기술,서울전체,신입·경력,대졸↑,정규직,정보 없음,"백엔드/서버개발, 보안컨설팅, 앱개발, 정보보안, 프론트엔드",수정일 24/12/11,~ 12/31(화)
2024년 부문별 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49516174&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,(주)이디야,서울 강남구,신입·경력,고졸↑,정규직,정보 없음,"네트워크, 사무보조, 자료입력, 전산총무, Excel",수정일 24/12/04,~ 12/15(일)
보안솔루션 운영 경력직 채용(SK Inc. 근무),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49529003&location=ts&searchType=search&paid_fl=n&search_uuid=55b7fa69-21b9-48e0-baf9-58a01a069c3f,에스케이쉴더스(주),서울 종로구,경력3년↑,초대졸↑,정규직,정보 없음,"기술지원, 보안컨설팅, 유지보수, 정보보안, IT컨설팅",수정일 24/12/04,~ 12/22(일)
"경리,행정,전산,편집디자인,영상,유튜브,만불신문편집,만불출판편집,TM사원 직원채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49469812&location=ts&searchType=search&paid_fl=n&search_uuid=dcf73175-17dd-4097-8636-5cdb13267907,(재)만불회,대구 동구,신입·경력,학력무관,정규직·계약직,정보 없음,"유지보수, ERP, Windows, MySQL, OracleDB",수정일 24/11/26,~ 12/25(수)
웹 솔루션 기술 분야 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523762&location=ts&searchType=search&paid_fl=n&search_uuid=eba93fcf-8de5-41a0-8127-951d2c1c1d33,(주)세인인포테크,서울 강남구,경력3년↑,대졸↑,정규직,정보 없음,"백엔드/서버개발, 프론트엔드, Git, Java, JSP",수정일 24/12/04,~ 12/17(화)
� 24/12/11,채용시
